User,Comment,Time,Likes
@64friendlyone,Agreed,3 years ago,
@tama-a-tumatauengahiku3647,Speech is a lossy form of expressing thoughts...Elon Musk,3 years ago (edited),
@demzt.7677,@Krystof Bristol Sometimes your brain speaks faster than your mouth,3 years ago,
@themayor6355,This is so correct and on point!,3 years ago,
@sofiapiga8146,I've told my fiance that a million times.,3 years ago,
@williamgonzalaez229, @ronscott8045  7q,3 years ago,
@user-xk8zu3jb2z, @Valhallen002  bingo,3 years ago,
@Cultleader1984,Or trying to improve the concept he's about to explain))),3 years ago,
@user-xk8zu3jb2z,It's called anxiety,3 years ago,
@rickkloek2411," @Cultleader1984  When you have several thinking flows and you are choosing any exact one it is not anxiety, it is just output optimization process) yet it takes a lot of energy, you hurry to think, so that it looks like you have anxiety. It can be reformulated to: The reason of the anxiety is in that you are afraid of being too late so that your companion won't keep listening for that much long.",3 years ago,1
@meranaamsweetgirl,Elon musk is a genius,3 years ago,
@troll4959," @nglyo  True.      I realised he's dislexycal when he starts any phrase he's not able to keep without bumping into the letters.. normally ppl like him and I, when we have to explain things,  our mind kinda opens a new word, it's not like the metaphor of a book, like when sm1 asks your name or age it seems ur brain looks for this info ""in a book"". But the more complex things, it's like an entire world is open inside of our mind, like a digital data bank which scrools itself in half a second.. so to balance between what we know + how fast we think + how ppl will get the information, it's a hard work",3 years ago,
@jarvishong45,I wish he would talk in his tounge,3 years ago,
@johnhowells6754,"Yeah, we are too stupid in front of him. Truth.",3 years ago,
@v22arvind,I think that's exactly what's going on,3 years ago,
@tbg1855,"Yes, ofcourse!!",3 years ago,
@MsRen1975, @seangangstad9597  I’m the same here with adhd,3 years ago,
@user-rg5ph3md9y,I think that's exactly what is happening.,3 years ago,
@CatChannelWithEntertainment,"I would say Elon Musk is more kind of like a technologist, actually it is.It's a little bit harder to him said it in well-understanding ways.So it doesnt matter in fact.",3 years ago,
@VectorOfKnowledge,"Elon Musk’s accent changes every time he’s being interviewed by different hosts .. now it’s British,  he matches his accent with the host . Damn is the neurolink installed in his brain !!!!??? Watch Joe Rogan Podcast with Elon Musk , his accent is American there .",3 years ago,
@VectorOfKnowledge,That's such a brain-washed thing to say.,3 years ago,
@elise.ester23, @TuriGamer  Neither do his followers.,3 years ago,
@VectorOfKnowledge,Me too,3 years ago,
@UltraMegaFireKick, @elise.ester23  That's pathetic.,3 years ago,
@sonypucha9480,Agreed,3 years ago,1
@VectorOfKnowledge,I agreee hisnlevel of understanding is different so putting it in simple wrds,3 years ago,
@mikewaters1366, @sonypucha9480  He's putting it in simple words so that he can understand it.,3 years ago,
@106waysmakingmoneyonline9,Cuz he's an alien ,3 years ago,
@106waysmakingmoneyonline9, @emelibelford6603  他v天天吞吞吐吐他黄v黄v天天v天天v天天v天天v天天很天天,3 years ago,
@106waysmakingmoneyonline9, @cdramafpv  黄v黄v土豪v他vv天天天天天天,3 years ago,
@106waysmakingmoneyonline9, @emelibelford6603  v唐v黄vv哈哈v退换货v好vv好v好vv好v他v他,3 years ago,
@sourabh4033, @cdramafpv  好v嘿嘿v好vv好vvv他v好vvv好v嘿嘿vv很好听v,3 years ago,
@bernhardsupernova8275,He is speaking the language of God ,3 years ago,
@whitepony8443,Just to click it to 4 12 .....7x7 42 elon...hope ya don't even know me .,3 years ago,
@bernhardsupernova8275,I still don't get it.,3 years ago (edited),
@bernhardsupernova8275, @whitepony8443  Neither do eyeIn a room of 1000 people im alone..anyway,3 years ago,
@MannyCalderari,Only the trees tell the truth   the birds the trees   they don't lie to me,3 years ago,
@warningsimulationoverload9391,"Not at all. When people pause too long or have too many filler words in their speech like, Ugh, Umm, Ahh.., it generally means they don't know what tgey are saying completely or wholeheartly!",2 years ago,
@detective7852,% Correct Sir.,2 years ago,
@vinayaklal8074,i do that sometime,2 years ago,
@bingsi8134,Yes ,2 years ago,
@bingsi8134,"TESLA and Tesla shareholders will Rule Earth and Mars. Rest and their family will be Our Slaves!! ELON is Einstein, Edison, Newton, and Jesus combined. He at least deserves Five Nobel Prizes. Just Worship Elon instead of other silly god!! HE will solve all humanity's problem.",2 years ago,
@Derikimi,"TESLA shareholders=Kings, Rest=Slaves. E lon has more IQ than weight of Hater's Ug ly Prius and his F at Ho Combined!! He is like Ironman who will destroy Thanos and critics are better off using their cash to wipe their a n us.",2 years ago,
@jkk20,"I love how Elon musk fans interpreted obvious signs of aspersers has him using his galaxy brain to try and explain to peons. Also shoutout to the people who felt the need to say ""lol I am the same way"", no you aren't.",2 years ago,
@jackfortune4447,elon is himself average,2 years ago,
@waynesetiawan2794,I feel the exact same way haha! He's simplifying it very quicky to/for the average brain!,2 years ago,
@dianamendez6512,BOW Before Elon MUSK and SATAN. Elon's AI and Brain Chips will Replace and Control Pathetic humans. NON Tesla Holders only Tremble in Fear. Tesla Holders will Rule the Earth when Elon's AI Enslave Humanity. It's okay to have Fear. Just Worship Elon and SATAN. HODL Tesla.,2 years ago,
@tordlindgren2123,best comment ever.,2 years ago,
@SCP--mw7tx,"Pretty much. ""How do I explain quickly and simply""",2 years ago,
@GameStop-gp6gf,elon says he has aspergers syndrome.,2 years ago,
@GameStop-gp6gf, @nglyo ¿Su inteligencia en sí misma no generará estrés?,2 years ago,
@nathansnow, @nglyo ¿Su inteligencia en sí misma no generará estrés?,2 years ago,
@glenistergrotj3022,I'm wondering how baked he is ,2 years ago,
@emersontopacio2865,"Elon musk has Asperger’s, that’s probably why. I have Asperger’s and do the same thing.",2 years ago,
@SandyWolf-,TRUE THAT!!,2 years ago,
@romeosarmiento6333,He is choosing his words carefully ,2 years ago,
@romeosarmiento6333, @bossokanagan2930  yes you are the genius.  Elon Musk is.nothing compared to you .,2 years ago,
@commonsenseskeptic, @BladeTheSuperior Moronic? Or you are envious coz no one is talking about what you done. Coz you have done nothing.,2 years ago,
@money1singh652, @romeosarmiento6333  correct.,2 years ago,
@theguy4985,So true!!!!!!,2 years ago,
@cc-ci5dq,"Yeah, he's always thinking ""s**t! How do i get these people to understand what i'm tryna say?""",2 years ago,
@stefanpapp4237,no bruh he’s trying not to freak anyone out and watching what he says bc he knows he’s insane for all of it,2 years ago,
@MzLadeeK68,Or when he’s beating around the bush,2 years ago,
@3kashm3,And he Does it WELL!,2 years ago,
@3kashm3,Exactly true hes dumbing it down,2 years ago,
@buafuu4620,"You got to remember his mind works at a much higher frequency and faster rate than yours does , he's really a genius! so him stuttering is merely his mind processing all of the possible ways he could possibly word what he's trying to say into a much more simplified format that you can understand",2 years ago,
@MedicalSkillsTraining,R e I see FF,2 years ago,
@luzmariaperdomo793,You right - he is ,2 years ago,
@Kennyjr-rr8rm,"Um, Great com, um comment. ",2 years ago,
@uncapabrew4807,Yea it's way deeper then most can understand,2 years ago,
@dollbaby9017,He’s just stoned. Draw pictures Your probably better at-,2 years ago,
@arthurwhitfield6685,Uhh..uh yea..uhh.uh uh ya hahaha thts what I was thnkn too lol hes too smart,2 years ago,
@stevenporter863,I agree,2 years ago (edited),
@lornamanning3130,Making excuses and giving him way too much credit. Just his speaking style or speaking impetiment.,2 years ago,
@official_pankaj180,I agree.  Bless him.,2 years ago,1
@jamesfair9751,Ye,2 years ago,
@ZoraTheExplora,I use to wonder that also but I assume some of that is his Aspergers,2 years ago,
@OriginalKingRichTv,Cause he is,2 years ago,
@pcysneros,Yes it’s so nerve wreaking,2 years ago,
@anitasaad5875,"Yes, plus he is in the spectrum.",2 years ago,
@vivekjoshi5207,Aku tahu semua ini bukan aku punya,2 years ago,
@user-xu7jp2ro5k,Spot on,2 years ago,
@vandread, @vandread  What new words did Shakespeare introduce?,2 years ago,
@user-xu7jp2ro5k," @user-xu7jp2ro5k  Oh man. I heard he made about 3-4 thousand of the current english words. Many probably derived from other languages such as assasin from hashasin (I think). Here are some examples; Eyeball,obscene, puking, cold-blooded, hot-blooded, addiction, epileptic, arch-villan, bedazzled, belongings, dishearten, eventful, fashionable, inaudible, ladybird, manager, new-fangled, pageantry, scuffle bloodstained, laughable, negotiate, rant, outbreak, marketable, savagry, jaded, zany, grovel, moonbeam, torture, lonely, gnarled, mimic, pedant, and unreal. You would have to ask an actual liguist to get more specific tho, and if you get ahold of one, please tell me. I have some questions too.",2 years ago,
@x4tfxChallenger," @vandread  Thank you, I'm sorry for my ignorance",2 years ago,
@jonakibu8323,Literally every time.,2 years ago,
@abegmazumder2717,True,2 years ago,
@tobyhernandez7961,True,2 years ago,
@tiaryan1350,I agree,2 years ago,
@muakurambn,"It could also be adhd/add coexisting with his Asperger's syndrome. It's fairly common that that happens with people with ADHD because their brains run faster and they can't always get the words out the way they want, so they can end up stuttering.",2 years ago,
@kingpinsmith22,Facts !! Lol and I don’t blame him I condemn him ,2 years ago,
@lindakelly4504,"Nope, dudes just stuttering",2 years ago,
@lindakelly4504,Deddddddd,2 years ago,
@lindakelly4504,Dddddddddddddddddddddddd,2 years ago,
@phoenix_SCS,Ddddddd,2 years ago,
@thegreatoutdoors9344,It is true. Makes sense.,2 years ago,
@lisarousseaustevens1248,Elon is a modern day Thomas Edison ... We all are smart! We all learn what we want to ... You think he was born smart or learned Everything he knows. He reads old books everyone should he understands life and the mind and ANYTHING IS POSSIBLE..  This tunnel idea is kinda cool but not that smart why use a car to get on a car? Then how many would they have to make...thousands lined up,2 years ago,
@Frankosclone,I find his intelligence so attractive! And his stutter is even more so!!,2 years ago,
@jeffreyvanlijsebeth3966,Yes it is lol he dumbs it down,2 years ago,
@hayleysmith5077,Boem!!!!!,2 years ago,
@jeffreyvanlijsebeth3966,Exactly  ! He is a Genius and may be an Alien top Smart for this Planet,2 years ago,
@michaelherndon9573,BOEM!,2 years ago,
@SL-rh5xo,Correct,2 years ago,
@brundabanmedicalstore9165,"Just like how to tell my mom, that there is a virus in the internet",2 years ago,
@waveafterwave0723,True,2 years ago,
@j5jackson878,He has to. The average person can’t change a lightbulb ,2 years ago,
@darrentiffney5900,He said it himself the limiting factor is bandwidth. Humans process so much information so quickly but it's very difficult dare I say impossible to relay that information to another person or computer at the same rate.,2 years ago,
@jessemiller6768,"He would be dismissed if he didn’t have that cash behind him However,this man has obviously been involved in research of his many companies",2 years ago,
@RosemaryVoak,"That's a fact. His brain calculates more info in 1 hour than most people do in a year. He's most likely computing several other different things simultaneously during this interview. Owning several  extremely successful n complex companies that generate billions and billions across the planet not only requires unfathomable amount of thinking and confidence, but also a very high self value. Your not only looking at one of the most valuable people monetarily, but also one of the most self wealthy people as well. He knows what he's worth full circle",1 year ago,
@Pennwild,,1 year ago,
@reality_official,I believe you're right he's looking for the most common sense explanation for the average layman. He's a very slow and calculated.,1 year ago,
@onedadimce7664, @nglyo  I 100% agree. I have a friend in the school who is exceptionally talented and really passionate about study unlike most of us. He also speaks like that,1 year ago,1
@jayantimishra275,I understand his thinking...continuing what has been started...being ambitious and having ideas it's not enough...important things for humans have to be discussed all over the world...before they are made...,1 year ago,
@jayantimishra275,True that! Visionary besides being the designer of planetary support Elon is growing the earth in you and me. You are absolutely right,1 year ago,
@jayantimishra275,First & foremost he Never stutters. A person who forms live converse thinks through. There is zilch flaw in his delivery. Why don't you formulate your sentence properly. I personally don't take anything against Elon,1 year ago,
@ericpalmer3588,He halts in thought speed to ensure a lay listener can understand the message. Stutter is grossly incorrect. You are personally seeking him on a high speed note delivery. Did you understand or decipher his vision content depiction. I can hear him innumerable times and yet not fathom the depth or rise. It gives rise to many formulae for adaptation and scale up. Do think again. He addresses a very dynamic versatile global audience. I feel your are thinking minimilastic,1 year ago,
@Hello-xp5wz,He’s thinking up what BS he’s going to make up next,1 year ago,
@petraanna9272,Still think that?,1 year ago,
@AhsanTritya,Im Universum is 2ein MUß,1 year ago,
@WarriorHitomi,i think mostly genius people like yhat,1 year ago,
@johnkristenson139," @seangangstad9597  Some labels matter, abuser, criminal, etc. There are many times when labels are an absolute necessity. and sometimes there aren't.",1 year ago,1
@johnkristenson139,No more smog in LA,1 year ago,
@faiida1793,No more smog in Los Angeles Yahoo,1 year ago,
@anitsaad6131,I feel that too,1 year ago,
@anitsaad6131,alon tungu any ripot any akan cari perkeja tuk tlg any..bagi any masa sikit biar any puas tengok perangai laki any.biar air mata any keting baru boleh any ripot,1 year ago,
@anitsaad6131,apa she apa nangsah,1 year ago,
@GodYermonia,kamu.masuk.rumah aku.mintak aku kamu.mencuri hak aku kamu add laki.kamu dtg umh aku.tampar aku tk ada umh aku sakit kena pukul..ka.u.jaga kamu nangsah,6 months ago,
@hambleboykkz_3396,Relatable on too many levels.,6 months ago,
@TechzTubeCreator,4:43 ,5 months ago,
@abiel2939,Never give up,4 months ago,
@user-yw9gy9rt8e,fr,3 months ago,
@user-yw9gy9rt8e,27രിസ്ട്രോ,3 months ago,
@WistarWisdom,=സമയമോ,2 months ago,
@diannsmith8580, agree,2 months ago,
@saeedghazal,"Me too. He's trying to figure out how to say it so us, or at least myself... dummies. He's literally a damn genius",1 month ago,
@Theonlyraybands,He is AI generated,2 weeks ago,
@gokudemon81,He’s autistic like myself and it’s hard to form our thoughts and words in real time,4 years ago,1.3K
@JayR-ct8pv,"""I'm not trying to be anyone's savior. I just wanna think about the future and not be sad"" -The Man, The Legend Himself, Elon Musk.",4 years ago,20
@januczak3705,He really gets it.,4 years ago (edited),1
@januczak3705, CanadaCommunity Org  DudeIf you answer my comment by some random sentence.  I report you for spam and hatred...,4 years ago,3
@musicg1696," CanadaCommunity Org  Well, you're not a bot... Just some random creepy dude who, well, admit it... You don't have it sorted in your head...",3 years ago,
@musicg1696,He has no interest in anything but profits. He's nobody's savior.,3 years ago (edited),
@reginamuthhickman8549,@DM Animation so your the boss :(,1 year ago,4
@punnaroothsrimongkolsilp1543,I’m sure you’ve come to realize soo much since then. I believe in you and have all faith and trust in your abilities and thoughts ️,11 months ago,7
@ElonMusk-hc1ls,Thank you sir.  From your fan in Thailand.,10 months ago,
@ElonMusk-tn1qn,"Thanks for your love care and support, it's my pleasure talking to you here. Where are you from?",9 months ago,
@Nick00Fury,"Hey there, my fabulous fans!  It's your favorite star, shining bright and ready to spread some love and excitement!  I just wanted to take a moment to thank each and every one of you for your incredible support and unwavering belief in me. You're the reason I do what I do, and I couldn't be more grateful for your constant encouragement and enthusiasm. Together, we're going to create unforgettable moments and make dreams come true! So buckle up, my darlings, because this journey is just getting started! Get ready for more breathtaking performances, catchy tunes, and surprises that will leave you breathless! Remember, you're not just my fans, you're my family, and I'm here to make you smile, dance, and believe that anything is possible. Let's keep rocking this world together!  Love and sparkles, Your one and only, [DElon musk]",5 years ago,729
@hopesy12u4,glad to be alive the same time as Elon Musk... he's the visionary genius mankind needed... to change the world for the better.,5 years ago,4
@torque6222,"Nick, are you back from a dystopian future or something?  Why are you referring to mankind's needs in the past tense? DON'T TELL ME THANOS' SNAP WASNT REVERSED!?",5 years ago,8
@furryengineer2025,i kind of wish I was born in a time where I would learn about Elon in a history book so then I could experience the future that he has in his mind.,5 years ago,
@ShreyanshJindal,"Yeah, Elon is awesome!",7 years ago,4K
@alekar2034,"""I am not trying to be anyone's saviour, I'm trying to think about the future and not be sad"" - Elon MuskOne of the best quotes",7 years ago,69
@tuomio5043,"The most funniest for me is:""We wanna be Garry!"" - Elon Musk",7 years ago,20
@AetherXIV,Ale Kar *beat,7 years ago,13
@HaZy_RL,I want it on a shirt,7 years ago,5
@VinnyOho,Shreyansh Jindal I'd buy one. especially to support anything Elon has his name on,7 years ago,8
@JMBBproject,More like completely depressing.,7 years ago,4
@VinnyOho,Elon at his finest. Just awesome!,7 years ago,8
@petlahk4119,"Few men are willing to brave the disapproval of their fellows, the censure of their colleagues, the wrath of their society. Moral courage is a rarer commodity than bravery in battle or great intelligence. Yet it is the one essential, vital quality for those who seek to change a world which yields most painfully to change.Robert F. Kennedy",7 years ago,35
@HarshvardhanSingh007,"VincentI doubt that Elon Musk is a guy who does not care about what Is ethical. If you truly are worried about where he get's his Cobalt I would first like to point out that people don't like doing business with people who do exploit children, and secondly link you to this article:  which states that Musk plans to buy cobalt from mines in Idaho, and is currently buying cobalt from a Japanese company who mines in the Philippines. Their mission statement can be found here:  I think that it's fair to state that Elon Musk is an ethical businessman who truly cares about the future, and is taking great leaps toward realizing the future.I hope you put a tad bit of thought into things in the future, cheers!",7 years ago,1
@MrGriff305,Shreyansh Jindal agree  percent,7 years ago,10
@spectrum503,"Shreyansh Jindal .....It'll be ironic when Elon's lowly Civil Engineering mocking ""Boring Company"" bankrupts him and his other more feasible endeavors.I seem to be one of the few people who doesn't buy into everything he says in each speech. This seems unbelievably impractical to have sleds for tens of thousands of vehicles in 12' tubes. Just from a psychological standpoint, I would never get into those tiny underground graves. How many vehicle elevators are we going to require and at what maintenance cost? How much money will it take to provide energy for moving thousands of vehicles that fast on sleds, where no car is contributing its own energy? Is he really planning on going thousands of feet deep with multiple levels and no emergency access? What is the geothermal temperature deep under LA? Current modern tunnels give some thought to the psychology of vehicle occupants to avoid the claustrophobic effects. Maybe he should start there.Also, tunnel structures are currently placed simultaneously with drilling, so Elon didn't just come up with that idea.",7 years ago,4
@MrGriff305,Shreyansh Jindal I have made a video on life story of Elon Musk. Watch it to know the early days of Elon when his company Tesla and SpaceX were about to be sold and shut down respectively and how he managed to save his company like a hero.,7 years ago,2
@DarronBlack,"Dissonant Euphony .. agreed.. I love most of Musk's ideas, but I think he's underestimating the costs and complexities here with tunneling. Given the stability of GPS guided quad copters and similar flying machines, I think that represents the future of human travel as a supplement to traditional cars. Going underground is not going to help people psychologically!",7 years ago (edited),
@schyzm,"Autonomy means nobody will care it's underground.  You can work, eat, watch shows, sleep. The fundamental advantage of ground or below ground transportation is energy efficiency.  While air travel is more efficient currently due to cramming lots of people into big flying buses... personal or taxi-sized air travel is going to be seriously wasteful on the energy side.",7 years ago,3
@divyanshjindal7780,"I would be willing to sacrifice all I have to allow for the Human race to advance ahead into the future. For if we do not make change for the future, we will die ignorant.",7 years ago,2
@AxelBrass,@Shreyansh One of the coolest lines he said that day!,6 years ago,1
@AxelBrass,"Griff, while i do LOVE skepticism... Elon is more of a futurist. Like Tony Stark for instance. (has anyone ever made the comparison before? No? Wow I am pretty clever arn't I :P)I remember seeing in one video Elon said something a kin to: ""Even if it was just 1 tunnel I think it would be a cool thing to do. I would ride it."" Or something like that.Put it to you this way. Anyone who makes a company that is an expert in exploding rockets... and then decides to empty all of his life earnings into 1 more go.... and then says that he would be willing to ride on a future rocket... to mars.... is a good human. Way better than a lot of others at least.Good luck to him.P.S. The Idol worship of him is sorta creepy though. I see it a lot on YT comments and it's weird when anyone does that to someone. Hero Worship is NOT a good thing. Just admire the guy... or ignore him. I think the people who rail against him online have better things to do than be argumentative twats on the internet.",6 years ago (edited),2
@EIO01,@Vincent Elon's batteries don't use Cobalt. They use lithium Ion. Not the same thing.Being mad at him for that is like being mad at him for wearing a shirt that was made by a child somewhere.... except it wasn't... because it's a spacesuit.... that he made in his office with some of his employees :)Also I just realized... the link itself says CELLPHONES... is Musk making cellphones now? Did I miss out on that somewhere?,6 years ago,
@somewhatinformed1208,Shreyansh Jindal Comma splice,5 years ago,1
@somewhatinformed1208, @Disso_nant  like they did was SpaceX you mean... I hear he got billions in government dollars. I hear it was quiet at convincing magic show.,5 years ago,1
@edenswaterislife9214, @AxelBrass  it's not a spacesuit till you see how it works in a vacuum and none of them do.,2 years ago,1
@sabirakaldybaeva4873,"""We are raising the demon"" Elon. Has thought of them future is taking everyone out he can. He is sad his fathers reign is coming to an end.",2 years ago,
@jameshayes524,Dx,2 years ago,
@RekhaSharma-ki4hl,A man with a mission.  He knows something.,2 years ago,
@save4jesus104, @alekar2034  0,2 years ago,
@ANGEL-eh6pd, @VinnyOho  he is enforcing the devil's evil plan. Totally evil,2 years ago,
@save4jesus104, @VinnyOho  Than you foe posting the research on her comment.   it's sad when people are posting insulting and ignorant comments on any media site over the net.   By posting the reaserch on African slave labor and Musk shows people up!,2 years ago,1
@save4jesus104,"Turn to Jesus Christ people, before it's too late. He's calling you!!!",2 years ago,1
@save4jesus104," @VinnyOho  they are blinded to the evil in this world. It's taught as normal these days!! Jesus Christ is coming back very soon and every eye shall see, every knee shall bow",2 years ago,1
@save4jesus104," @VinnyOho but he's their idol. ️ Of course he would never do anything wrong.... Rich people don't get rich by being crooked.... No, not ever..️",2 years ago,
@save4jesus104, @edenswaterislife9214  ,2 years ago,1
@outofthebox9699, @edenswaterislife9214  but yet he's got all these people idolizing him... He's a deceiver !!,2 years ago,1
@annbush1826," @save4jesus104 Inshallah when Jesus Christ (PBUH) comes back in his second coming, he will himself tell you to worship One God and that he is just a Prophet.",2 years ago,
@teresawilliamson9377,"This was like being with Galileo. Above all, we sense his love of humanity and his modesty and his elfin sense of humor.",2 years ago,1
@ivonned32,"Self-centered, self-absorbed, me me me.",2 years ago,
@ivonned32,️,2 years ago (edited),
@WXSTANG, @VinnyOho  Bingo! And that is the way they want us to stay. Depress! and adoring them. Giving our time/life to them. Our energy soon will be replace by the machines that will finally bow to them and call them Gods/Makers. We've become too expensive now.,2 years ago,
@johnmacdonald194,That statement speaks volumes about what he realizes is going down. He is more scared for the future then happy.,1 year ago,2
@infinityresourcegroupinc.1314,Elon energy is brilliant I could conversation all day with him on theories etc,2 years ago,2
@Legoatdufootball0,How did you fix the torque issue with semi trucks? My understanding is that is why we cannot get across the country with semi trucks not to mention the charging issue. I'm very curious. :),4 years ago,2.3K
@saaraguhar1234,"TED to everybody: you have 21 min to deliver your idea standing in front of the audience, be quick, be efficient.TED to Elon : Just come and talk we are all ears, wait I'll bring you a chair",4 years ago,74
@paulmuseck6423,Exactly what I thought hahahaha,4 years ago,8
@BeAPickle,pues mas o menos JAJAAJAJA,4 years ago,50
@buttercupslongnails,"This is TED, the 21 or 17 minutes format is TEDx",4 years ago,3
@black_jack_meghav,,4 years ago (edited),1
@diegomieryterangc,Hahahahahahahahaha lullollul. Nice one,4 years ago,15
@dgayle25,"oh yes!, and we'll give you plenty of time to advertise yourself without any sense of critical analysis. The interviewer is about to thank Musk for letting him sit next to him.",4 years ago,8
@diegomieryterangc,The concepts he’s explaining need to be dumbed down. You can’t just let him come out here without someone to reign him in. I think my brain would liquify at it’s pathetic attempts to comprehend an uninterrupted Elon for more than like 5 minutes,4 years ago,10
@nathannakaji970," @TheBaldyheed  If I'm a buffoon or not is not the issue. It may very well be, but your comment does nothing to disprove my point, It only shows your incapacity to provide logical arguments, and to deal with different opinions. In the end, you are giving me more reasons to think that most of the people applauding Musk are but blind followers, not critical thinkers. If you can provide an argument, I'll gladly discuss with you. An insult, it's all yours to keep.",4 years ago,6
@swirlandtwirl5417," @diegomieryterangc  He's a businessman. I think that he sits down and thinks critically every day... Thats how he got to where he is now, not by accepting how things were when he started but by how they could be improved. So yes he does take the liberty of advertising some of his ideas but the fact that he came up with them at all justifies it at least partially.",4 years ago,
@vcat417,Haha that's a fact,4 years ago,1
@RianPrakoso91,"Nathan Nakaji sharing ideas is more likely than advertising. You just picked a wrong word to begin with , may be ?",4 years ago,
@diegomieryterangc,The same situation with Linus Trovald,4 years ago,1
@diegomieryterangc,"Thank you  @davidchambliss5909  ,  I'm full of questions. What do you think I should be educated on? Am I a moron because I have ideas different from yours? What's at stake for you when someone like me (educated or not, you dont know) questions Elon Musk?",4 years ago,1
@diegomieryterangc," @davidchambliss5909  if I was, let's say, a professional interviewer (which I could very well be, you don't know), would that change how you read my comment? Its a lame, self-congratulatory, short-sighted interview, thats for sure.",4 years ago,1
@codeisfun3041," @nathannakaji970  The problem is that they are very old ideas that daye back to the 50's, that just perpetuate the status quo. I'm not saying Elon Musk is unintelligent (he is clearly a prodigal mind), but that his vision for the future is boring, derivative and completely lacking cultural or political awareness. Its in that sense that I call it un-critical. But is is also the interviewer who, instead of probing Musk's vision through intelligent questioning to really advance the discusion (after all he is supposed to be talking about the future of the world), chose to become almost a sidekick for Elon to advertise himself and his arrogant ego.",4 years ago,
@Segegerstadt,Linus Torvalds also,4 years ago,
@Joey_Stylez,My first thought exactly :),4 years ago,
@angelanelajuly2961,Fatima Ezzahra I love this,4 years ago,
@irfanali-nt4xo,"I'm in Hawaii, I want to deliver a formula to be used to undermine, stop and take over corporations not serving the greater good, Federal Reserve, and limit power to go government. I've been told I'll be killed for doing it public but if people catch on, it would really become a country and world truly for the people. In a nutshell, it's a classaction. Don't question it, I've already met with the who's who on knowledge. They say it could work but I'm fucking angry nuts to see and figure it out. LOL",4 years ago,
@polpol1005,Is TED for everyone. And what is your role in selection of particular candidate?,2 years ago,
@renataheiberg7534,TED to Elon: ... and don't be so narcisistic,2 years ago,
@warriorprincessharmony,Elon digging under Phoenix?,1 year ago,
@QMU-nj9nx,I love that. They respect him.,3 years ago,1.1K
@eminem21314,"The most fascinating thing about Elon is that whenever the interviewer laughed or thought his idea was a joke or its too crazy, Elon gave back this sincere and firm look saying in silence ""I'm serious and I will make it happen"". Charming af.",3 years ago,26
@reign225,And he really will make it happen,3 years ago (edited),25
@marinomusico5768,It was too frustrating to hear them laugh at his ideas. Bunch of boomers and their old age ideologies.,3 years ago,3
@ThomasZiano,Freaking awesome,3 years ago,1
@magorzatakitka4266,The most fascinating thing about Elon is that he said they'd have full self driving cars within months after this interview but no one cares that they didn't. The first people started beta (!) end 2020.,3 years ago,1
@ThomasZiano, @ThomasZiano  most fascinating is- you have a problem with dates ! But car was only not so much peaces.,3 years ago,1
@magorzatakitka4266," @magorzatakitka4266  it's not surprising to have some delays here and there, but stating you're just months away from something that then takes 10x longer is alarming.",3 years ago,
@CX-ru1ql," @ThomasZiano  No, not because we are talking about mass production. That is allarming only if some gremium disturb. That could be.",3 years ago,
@larapalma3744, @reign225  you do know that is a laugh track right this is all just a bunch of bulshit,3 years ago,1
@ddlittle752, @reign225  I like him and I'm old,3 years ago,2
@juanitareynoso5154,He's awesomely sweet and intelligent.  I would  to ask him to make something to wash and dress you!,3 years ago,
@juanitareynoso5154,Zen,3 years ago,
@AusValue,Monaro Zen,3 years ago,1
@giantreaveraloadae8229," @giantreaveraloadae8229  like what? His company is barely profitable even with government subsidies. In this video he said his cars would be self driving by 2018. It’s 2021 and still isn’t even close to this, someone was burnt to death in one of his cars this year because they used it for self driving. How are you so blind ?",3 years ago,
@giantreaveraloadae8229, @AusValue  You can’t point to a statistical outlier and say it represents all self driving cars. Also how can you say his cars don’t self drive while simultaneously admitting that they definitely do?,3 years ago,
@AusValue, @AusValue  the fact that some of his companies are not profitable yet he still invests in them because it gets things going is part of elons charm.,3 years ago,
@AusValue," @giantreaveraloadae8229  they aren’t certified to self drive, but the user incorrectly used it for that purpose, which resulted in his death. Maybe the dead guy believed musk was a genius and believed everything he claimed. I guess you know nothing about Tesla that’s why you spin it positively",3 years ago,1
@giantreaveraloadae8229," @giantreaveraloadae8229  if you think someone lying through their teeth is charming, I have no more words for someone of your intelligence",3 years ago,
@giantreaveraloadae8229, @AusValue  So you admit that the guy died due to incorrect usage and not how it was intended? I don’t know why you are assuming a dead mans position on Elon musk but it’s not getting you anywhere:,3 years ago (edited),
@giantreaveraloadae8229, @AusValue  And if you insult peoples intelligence when they look up to a billionaire that is single handedly pushing our society forward than what does that say about you?,3 years ago (edited),
@raimondainsar4519, @AusValue  You havn’t proved he is lying at all. You are hating on him without backing up your own dishonesty.,2 years ago,
@giantreaveraloadae8229," @giantreaveraloadae8229   most of the technology he is talking about is not possible. Hyperloop not going to happen and it will never be cost effective. Tesla semitruck will never happen because the batterypack would weigh to much for long distance hauling and ot could only move 4 tonnes at a time, because our roads have weight limits and tesla trucks would weigh to much.  That space satellite thing sounds like bullshit because every 5 years you hve to send new ones up there. Alot of smart people have depunked elon musk and his lies",2 years ago,
@giantreaveraloadae8229, @raimondainsar4519  They are more like aspirations and if he wants to throw all his money into such investments and they give no results I say just let him.,2 years ago,
